"","date","hour","power"
"548",20170123,19,1.4
"549",20170123,20,1
"550",20170123,21,0.4
"551",20170123,22,0.25
"552",20170123,23,0.6
"553",20170124,0,0.75
"554",20170124,1,1
"555",20170124,2,0.9
"556",20170124,3,0.25
"557",20170124,4,0.1
"558",20170124,5,1.35
"559",20170124,6,1.4
"560",20170124,7,1.25
"561",20170124,8,0.75
"562",20170124,9,1.85
"563",20170124,10,2.85
"564",20170124,11,4.66666666666667
"565",20170124,12,5.68181818181818
"566",20170124,13,5.875
"567",20170124,14,5.77272727272727
"568",20170124,15,5.51612903225806
"569",20170124,16,5
"570",20170124,17,4.15
"571",20170124,18,2.9
"572",20170124,19,2.15
"573",20170124,20,1.65
"574",20170124,21,0.9
"575",20170124,22,0.35
"576",20170124,23,1.5
"577",20170125,0,1
"578",20170125,1,0.75
"579",20170125,2,0.65
"580",20170125,3,0.5
"581",20170125,4,0.35
"582",20170125,5,0.75
"583",20170125,6,1.25
"584",20170125,7,0.9
"585",20170125,8,0.6
"586",20170125,9,0.65
"587",20170125,10,1.6
"588",20170125,11,5.38636363636364
"589",20170125,12,6.7906976744186
"590",20170125,13,4.68965517241379
"591",20170125,14,5.8
"592",20170125,15,3.96
"593",20170125,16,5.36111111111111
"594",20170125,17,6
"595",20170125,18,3.41666666666667
"596",20170125,19,2.42307692307692
"597",20170125,20,1.90909090909091
"598",20170125,21,3.28125
"599",20170125,22,3
"600",20170125,23,3.76923076923077
"601",20170126,0,2.5
"602",20170126,1,4
"603",20170126,2,3.36363636363636
"604",20170126,3,4.26923076923077
"605",20170126,4,4.275
"606",20170126,5,4.09259259259259
"607",20170126,6,4.17777777777778
"608",20170126,7,3.48387096774194
"609",20170126,8,0.7
"610",20170126,9,0.75
"611",20170126,10,1.95
"612",20170126,11,4.625
"613",20170126,12,6.26923076923077
"614",20170126,13,5.59259259259259
"615",20170126,14,2.95
"616",20170126,15,2.1
"617",20170126,16,3.5
"618",20170126,17,3.9
"619",20170126,18,4.6
"620",20170126,19,2.2
"621",20170126,20,1.65
"622",20170126,21,1.85
"623",20170126,22,0.35
"624",20170126,23,0.65
"625",20170127,0,0.25
"626",20170127,1,1.66666666666667
"627",20170127,2,2.27272727272727
"628",20170127,3,2.4
"629",20170127,4,3.76744186046512
"630",20170127,5,3.78125
"631",20170127,6,1.15
"632",20170127,7,2.36842105263158
"633",20170127,8,1.4
"634",20170127,9,3.52
"635",20170127,10,1.55
"636",20170127,11,2.2
"637",20170127,12,5.0625
"638",20170127,13,6.63333333333333
"639",20170127,14,7.51666666666667
"640",20170127,15,7.35
"641",20170127,16,5.13207547169811
"642",20170127,17,5
"643",20170127,18,3.3
"644",20170127,19,3.33333333333333
"645",20170127,20,1.55
"646",20170127,21,0.5
"647",20170127,22,0.25
"648",20170127,23,0.15
"649",20170128,0,0.1
"650",20170128,1,0.9
"651",20170128,2,0.35
"652",20170128,3,0.45
"653",20170128,4,1.2
"654",20170128,5,1
"655",20170128,6,0.6
"656",20170128,7,0.15
"657",20170128,8,0.35
"658",20170128,9,0.15
"659",20170128,10,1.4
"660",20170128,11,3.3
"661",20170128,12,3.85
"662",20170128,13,5
"663",20170128,14,6.11538461538461
"664",20170128,15,7
"665",20170128,16,6.43181818181818
"666",20170128,17,4.45
"667",20170128,18,2.1
"668",20170128,19,1.35
"669",20170128,20,1.65
"670",20170128,21,0.95
"671",20170128,22,0.15
"672",20170128,23,0.75
"673",20170129,0,1.4
"674",20170129,1,1.35
"675",20170129,2,1.5
"676",20170129,3,1
"677",20170129,4,1.4
"678",20170129,5,1.5
"679",20170129,6,1.75
"680",20170129,7,2.1
"681",20170129,8,0.5
"682",20170129,9,1
"683",20170129,10,1.15
"684",20170129,11,2.9
"685",20170129,12,3.15
"686",20170129,13,3.6
"687",20170129,14,3
"688",20170129,15,2.6
"689",20170129,16,2.9
"690",20170129,17,4.45
"691",20170129,18,5.45
"692",20170129,19,3.45
"693",20170129,20,2.15
"694",20170129,21,0.8
"695",20170129,22,2.55
"696",20170129,23,0.85
"697",20170130,0,1.25
"698",20170130,1,1
"699",20170130,2,1
"700",20170130,3,0.35
"701",20170130,4,0.5
"702",20170130,5,0.4
"703",20170130,6,1.4
"704",20170130,7,1.85
"705",20170130,8,2
"706",20170130,9,0.75
"707",20170130,10,1.9
"708",20170130,11,2.15
"709",20170130,12,4.59090909090909
"710",20170130,13,5.83870967741935
"711",20170130,14,6.26666666666667
"712",20170130,15,7.01666666666667
"713",20170130,16,7.1304347826087
"714",20170130,17,2.9
"715",20170130,18,0.1
"716",20170130,19,1.95
"717",20170130,20,3.55
"718",20170130,21,1.2
"719",20170130,22,1.25
"720",20170130,23,0.1
"721",20170131,0,1.3
"722",20170131,1,1.1
"723",20170131,2,1
"724",20170131,3,0.75
"725",20170131,4,0.25
"726",20170131,5,0.75
"727",20170131,6,1.25
"728",20170131,7,0.75
"729",20170131,8,1
"730",20170131,9,1.4
"731",20170131,10,0.75
"732",20170131,11,1.5
"733",20170131,12,3.15
"734",20170131,13,2.35
"735",20170131,14,2.8
"736",20170131,15,3.5
"737",20170131,16,2.7
"738",20170131,17,2.5
"739",20170131,18,2.5
"740",20170131,19,1.2
"741",20170131,20,0.15
"742",20170131,21,0.35
"743",20170131,22,0.2
"744",20170131,23,0.3
"745",20170201,0,0.75
"746",20170201,1,0.25
"747",20170201,2,0.9
"748",20170201,3,1.7
"749",20170201,4,0.95
"750",20170201,5,1.1
"751",20170201,6,1.35
"752",20170201,7,1.45
"753",20170201,8,1.3
"754",20170201,9,1
"755",20170201,10,2.1
"756",20170201,11,5.13333333333333
"757",20170201,12,4.76190476190476
"758",20170201,13,4.65
"759",20170201,14,5.1
"760",20170201,15,5.78260869565217
"761",20170201,16,5
"762",20170201,17,3.8
"763",20170201,18,1.6
"764",20170201,19,1
"765",20170201,20,0.35
"766",20170201,21,0.75
"767",20170201,22,0.65
"768",20170201,23,0.5
"769",20170202,0,1.75
"770",20170202,1,0.75
"771",20170202,2,0.85
"772",20170202,3,1.05
"773",20170202,4,0.95
"774",20170202,5,0.65
"775",20170202,6,0.35
"776",20170202,7,1.05
"777",20170202,8,1
"778",20170202,9,1.5
"779",20170202,10,3.3
"780",20170202,11,4.5
"781",20170202,12,4.75
"782",20170202,13,4
"783",20170202,14,4
"784",20170202,15,3.1
"785",20170202,16,3.25
"786",20170202,17,3
"787",20170202,18,2.85
"788",20170202,19,2.65
"789",20170202,20,1.95
"790",20170202,21,0.25
"791",20170202,22,0.6
"792",20170202,23,0.65
"793",20170203,0,1.65
"794",20170203,1,1.75
"795",20170203,2,1.6
"796",20170203,3,1.65
"797",20170203,4,1.35
"798",20170203,5,1
"799",20170203,6,0.75
"800",20170203,7,0.75
"801",20170203,8,0.35
"802",20170203,9,0.9
"803",20170203,10,4.35
"804",20170203,11,5.4
"805",20170203,12,5.08
"806",20170203,13,5.94642857142857
"807",20170203,14,6.88333333333333
"808",20170203,15,6.75
"809",20170203,16,7
"810",20170203,17,5.29166666666667
"811",20170203,18,4
"812",20170203,19,2.95
"813",20170203,20,1.5
"814",20170203,21,0.8
"815",20170203,22,0.7
"816",20170203,23,1.4
"817",20170204,0,0.5
"818",20170204,1,0.5
"819",20170204,2,0.9
"820",20170204,3,1.5
"821",20170204,4,1.15
"822",20170204,5,0.25
"823",20170204,6,1.8
"824",20170204,7,1.5
"825",20170204,8,0.4
"826",20170204,9,0.6
"827",20170204,10,1.25
"828",20170204,11,1.9
"829",20170204,12,1.25
"830",20170204,13,2.65
"831",20170204,14,2.75
"832",20170204,15,3
"833",20170204,16,3.15
"834",20170204,17,2.65
"835",20170204,18,1.25
"836",20170204,19,1.35
"837",20170204,20,1.4
"838",20170204,21,0.6
"839",20170204,22,0.35
"840",20170204,23,1.15
"841",20170205,0,1.65
"842",20170205,1,1.95
"843",20170205,2,2.25
"844",20170205,3,1.15
"845",20170205,4,1.45
"846",20170205,5,1.4
"847",20170205,6,2.6
"848",20170205,7,1.85
"849",20170205,8,1.75
"850",20170205,9,2.03448275862069
"851",20170205,10,3.19230769230769
"852",20170205,11,3.86666666666667
"853",20170205,12,3.52173913043478
"854",20170205,13,1.75
"855",20170205,14,3.15
"856",20170205,15,4.89189189189189
"857",20170205,16,6.77272727272727
"858",20170205,17,2.65
"859",20170205,18,1
"860",20170205,19,0.5
"861",20170205,20,4.06666666666667
"862",20170205,21,3.17391304347826
"863",20170205,22,1
"864",20170205,23,0.85
"865",20170206,0,2
"866",20170206,1,2.40909090909091
"867",20170206,2,1.6
"868",20170206,3,1
"869",20170206,4,1.5
"870",20170206,5,0.9
"871",20170206,6,3.38095238095238
"872",20170206,7,3.19047619047619
"873",20170206,8,1.5
"874",20170206,9,4.1
"875",20170206,10,5
"876",20170206,11,5
"877",20170206,12,4.75
"878",20170206,13,4.5
"879",20170206,14,4.75
"880",20170206,15,5
"881",20170206,16,5.4
"882",20170206,17,5.2
"883",20170206,18,3.35
"884",20170206,19,2.35
"885",20170206,20,0.45
"886",20170206,21,0.5
"887",20170206,22,0
"888",20170206,23,0.25
"889",20170207,0,0.95
"890",20170207,1,1.2
"891",20170207,2,0.75
"892",20170207,3,0.6
"893",20170207,4,0.55
"894",20170207,5,1.1
"895",20170207,6,0.35
"896",20170207,7,0.25
"897",20170207,8,1.55
"898",20170207,9,3.7
"899",20170207,10,4.75
"900",20170207,11,5.23333333333333
"901",20170207,12,4.77272727272727
"902",20170207,13,4.1
"903",20170207,14,4.85714285714286
"904",20170207,15,4.6
"905",20170207,16,4
"906",20170207,17,3.35
"907",20170207,18,2.25
"908",20170207,19,2.85
"909",20170207,20,1.35
"910",20170207,21,0.15
"911",20170207,22,2.3
"912",20170207,23,2.2
"913",20170208,0,1.35
"914",20170208,1,0.45
"915",20170208,2,1.3
"916",20170208,3,0.55
"917",20170208,4,0.6
"918",20170208,5,2.05
"919",20170208,6,2.14814814814815
"920",20170208,7,2.41666666666667
"921",20170208,8,1.45
"922",20170208,9,4
"923",20170208,10,5.97222222222222
"924",20170208,11,5.15384615384615
"925",20170208,12,6.75
"926",20170208,13,7.73333333333333
"927",20170208,14,56.0166666666667
