"","shipID","work_time","start_time","end_time","date","moving_time","status","port","place1","place2","dist","turn","weight_lv","seven","day","pilotID","tug1","tug2","tug3","tug.cnt"
"12498","373516",10,2017-04-12 20:20:00,2017-04-12 12:30:00,2017-04-12 12:00:00,8.43839469330454,"3","1",NA,"1038",3441.15149127568,0,8,0,1,"48","321",NA,NA,1
"12501","948454",43,2017-04-12 11:47:00,2017-04-12 04:30:00,2017-04-12 03:00:00,28.3477321814255,"1","1",NA,"1057",7562.04078145344,0,1,0,0,"100","145","241",NA,2
"12502","948454",43,2017-04-12 11:47:00,2017-04-12 04:30:00,2017-04-12 03:00:00,28.3477321814255,"1","1",NA,"1057",7562.04078145344,0,1,0,0,"100","145","241",NA,2
"12503","318213",27,2017-04-12 14:53:00,2017-04-12 07:20:00,2017-04-12 06:00:00,6,"1","1",NA,"1037",5495.72505149772,0,8,0,1,"85","451",NA,NA,1
"12504","379212",25,2017-04-12 15:15:00,2017-04-12 07:40:00,2017-04-12 07:00:00,4.65620327642092,"3","1",NA,"4032",4454.61486217467,-1,1,1,1,"61","321",NA,NA,1
"12505","535559",30,2017-04-12 15:40:00,2017-04-12 08:10:00,2017-04-12 07:30:00,11.3014214676026,"2","1","1145","1507",-1,-1,1,1,1,"89","145",NA,NA,1
"12520","533009",41,2017-04-12 17:09:00,2017-04-12 09:50:00,2017-04-12 08:00:00,33.6028931533477,"1","2",NA,"1103",8600.58982624778,0,1,0,1,"84","163","162",NA,2
"12531","340286",35,2017-04-12 08:50:00,2017-04-12 01:25:00,2017-04-12 00:00:00,28.3477321814255,"1","1",NA,"1062",8293.25675090206,0,1,0,0,"84","153",NA,NA,1
"12536","502502",30,2017-04-12 22:40:00,2017-04-12 15:10:00,2017-04-12 14:00:00,14.7671907181425,"3","2",NA,"4061",3514.05099581148,-1,1,0,1,"61","163","162",NA,2
"12537","502502",30,2017-04-12 22:40:00,2017-04-12 15:10:00,2017-04-12 14:00:00,14.7671907181425,"3","2",NA,"4061",3514.05099581148,-1,1,0,1,"61","163","162",NA,2
"12540","315974",5,2017-04-12 12:00:00,2017-04-12 04:05:00,2017-04-12 03:30:00,12.6223959142485,"3","1",NA,"1065",7096.63480793989,0,6,0,0,"103","165",NA,NA,1
"12546","356298",43,2017-04-12 15:37:00,2017-04-12 08:20:00,2017-04-12 07:00:00,46.0383542581519,"1","1",NA,"1058",7724.10915705979,0,1,1,1,"97","101","245",NA,2
"12547","361305",29,2017-04-12 16:16:00,2017-04-12 08:45:00,2017-04-12 07:00:00,28.3477321814255,"1","2",NA,"1075",5128.17639050448,1,8,1,1,"72","155",NA,NA,1
"12556","505404",4,2017-04-12 14:46:00,2017-04-12 06:50:00,2017-04-12 06:30:00,3.27974975381207,"3","1",NA,"1043",3090.1321455364,0,1,0,1,"100","321",NA,NA,1
"12557","354953",40,2017-04-12 10:10:00,2017-04-12 02:50:00,2017-04-12 01:30:00,28.3477321814255,"1","1",NA,"1028",7099.44477502117,0,1,0,0,"99","145","241",NA,2
"12558","373761",16,2017-04-12 20:24:00,2017-04-12 12:40:00,2017-04-12 12:00:00,28.3477321814255,"1","1",NA,"1043",4942.1321455364,0,8,0,1,"76","241",NA,NA,1
"12559","352845",10,2017-04-12 18:50:00,2017-04-12 11:00:00,2017-04-12 09:30:00,6,"1","1",NA,"8745",0,-1,1,0,1,"81","145",NA,NA,1
"12577","361305",5,2017-04-12 20:05:00,2017-04-12 12:10:00,2017-04-12 11:30:00,8.25725061581434,"3","2",NA,"1075",3276.17639050448,0,8,0,1,"97","155",NA,NA,1
"12578","502502",51,2017-04-12 18:49:00,2017-04-12 11:40:00,2017-04-12 09:00:00,28.3477321814255,"1","2",NA,"4061",5366.05099581148,-1,1,0,1,"77","165","163",NA,2
